Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
Warducks,1/23/2024,10,,Mobile,Ireland,Ireland
People Can Fly Studios,1/24/2024,30,,Console,,
Eidos Montreal,1/29/2024,97,Embracer Group,Console,Quebec,Sweden
Activision Blizzard,1/25/2024,1900,Microsoft,Console,,United States
Riot Games,1/22/2024,530,Tencent,Online,California,China
Metaverse World,1/19/2024,70,Netmarble,Online,South Korea,South Korea
Ntreev Soft,1/18/2024,70,NCSoft,Online,South Korea,South Korea
31st Union,1/18/2024,,TakeTwo Interactive,Console,,United States
CI Games,1/18/2024,30,,Console,,
Behaviour Interactive,1/18/2024,45,,Console,Quebec,Canada
Wimo Games,1/17/2024,20,,Online,Texas,United States
Netspeak Games,1/17/2024,25,,Indie,,
Thunderful Group,1/17/2024,75,Thunderful Group,Publisher,,Sweden
Pixelberry,1/17/2024,,Nexon,Mobile,California,South Korea
Prahna Bytes,1/16/2024,,Embracer Group,Console,,Sweden
PTW,1/16/2024,45,,Publisher,,
Nesting Games,1/12/2024,68,Digital Bros,Console,Quebec,Italy
Lost Boys Interactive,1/12/2024,125,Embracer Group,Console,Wisconsin,Sweden
Playtika,1/11/2024,350,PlayTika,Mobile,Israel,Israel
Twitch,1/10/2024,500,Amazon,Online,California,United States
Unity Technologies,1/8/2024,1800,Unity,Tech,California,United States
Sliptegate Iron Works,1/3/2024,,Embracer Group,Console,Sweden,Sweden
Archiact,1/2/2024,20,,AR/VR,British Columbia,Canada
